id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.08081175642706e-64,2.4951298516615168e-143,4.5670688665444474e-113,1.9564733315604197e-09,0.0,2.39359014776529e-69,1.792127503328952e-111,4.0062890563031253e-91,5.24324176850185e-80,1.6697033974000896e-203,2.9347951564655044e-45,8.506246832038459e-166,2.7332296048347967e-104,1.9047814904247265e-130,2.722759816161383e-149,2.7730773038700733e-166,2.7451524955594375e-104,2.3940435238021764e-88,1.2153708495216139e-102,8.398238181990267e-148,1.659374362250708e-52,3.439315806374296e-61,1.0538237029048815e-50,3.791974054639986e-85,4.305303009891902e-103,7.509557684497912e-73,6.154562411822788e-29,1.8328735248595223e-42,6.965305506699932e-64,5.528934032361056e-67,4.976648641147031e-85,0.00025115605811798703,9.076701908003159e-45,6.026940399584817e-51,7.823664037973376e-79,2.0573022677704278e-166,1.8918925478310257e-85,4.6863762592354673e-110,1.8017235443473936e-105,4.380096753865657e-68,3.089807015308233e-84,2.8992998151466053e-82,1.0135690895830649e-125,2.3412545942249536e-64,1.536861550045185e-69,3.352066962940455e-41,5.225418245015313e-06,5.214734480631697e-208,8.744914014202709e-119,3.597278793275109e-85,2.5699894133248487e-36,0.9887352819036166,2.7937125424523534e-51,1.1143596323934394e-42,1.2079046069764246e-40,5.79778489454796e-20,1.6711195150226795e-05,2.6015540960166926e-150,1.0053575425369832e-42,1.9200602499858525e-86,1.357719543121587e-97,6.181560308032753e-110,4.1665003667418887e-76,1.4107618782858846e-154,1.6910274514942168e-17,1.5349215555240765e-62,9.817794664484174e-55,6.708736379334118e-73,2.0705596437488516e-50,3.994401780839857e-34,4.0508875470602954e-70,3.1458861993078583e-109,2.702837765518578e-81,1.095214063503606e-73,2.28152611845771e-46,1.5056330896859744e-48,7.219677004725968e-82,1.5433599799027548e-43,4.0132627342453006e-61,2.3132177497717893e-48,4.985944014679286e-63,3.0081613772847725e-48,1.96820592301705e-130,0.01099162346839712,4.441280962874495e-45,7.845749317533237e-121,9.827560959209945e-53,2.0198726486864702e-80,5.0430859616307494e-95,3.512744785630968e-182,2.7219262286416366e-53,2.592451083507895e-126,1.6757820814225653e-76,4.620924808365594e-75,4.0333976956634226e-60,3.7336339676047317e-128,4.232941319805518e-74,2.3313834322669584e-74,7.010548360005123e-101
7,2.4258732407750195e-89,3.11054337564836e-169,8.870578852510312e-85,1.5903535877266229e-19,0.0,3.127738189716629e-51,8.324030787250062e-23,2.922683729489073e-62,1.715167941250183e-70,2.7902652632496163e-195,8.176234218775395e-63,3.6693683599680834e-141,9.278960798402635e-123,1.0715564912055067e-100,9.346123818239869e-140,3.926231017079817e-169,1.4020169160303596e-132,6.780119188544225e-32,2.1513337221805627e-114,3.3128215767587344e-71,6.776190383027342e-72,6.1091918272765284e-90,9.478700725257414e-48,5.64546918957403e-69,2.471641918340484e-105,2.5036486568209942e-58,2.480115234152115e-72,1.2203641279893687e-89,2.1690775394139063e-43,6.076593945036457e-65,1.747230055968385e-42,1.170109876895233e-46,3.564546461003899e-87,1.1533148811728495e-78,1.0523402689614282e-69,1.8272918089818595e-152,6.73432477545286e-49,5.955213895481395e-102,3.2347480440770116e-90,1.1324795439167826e-42,6.249300273028174e-50,5.02441043885067e-119,4.1703083463800817e-110,5.988031568241225e-50,8.906445563682168e-98,1.755332111943477e-54,8.136525146446065e-110,1.2277267700915387e-125,4.774413717892529e-96,5.393446776322303e-119,0.5093695323388482,2.7893692219100048e-65,2.0801993999551057e-34,2.926554971772302e-24,4.392895340892263e-24,5.464575397020468e-32,1.7487289853070025e-66,4.661858814315573e-125,3.2041477612769354e-48,2.136585836452368e-63,1.2684890528003883e-92,8.179205783568341e-86,7.2510750694510366e-90,7.582849930784806e-142,7.854858634838491e-93,3.3797796686412672e-74,6.677607649287339e-81,1.2115618027520036e-50,2.3396113830403055e-38,0.4906304674660884,7.370621438708812e-66,1.5772658747347077e-75,4.3762573048964864e-123,1.3401767064638556e-38,1.6534275639253924e-153,1.5197183738762565e-128,2.4528389205892802e-39,1.1648845983234126e-71,1.7534937540916632e-71,1.5361432841522652e-43,1.596483668044627e-31,3.532575163689287e-21,3.297481665940118e-84,3.5210889738464294e-23,8.646401268176964e-100,1.581287805664321e-126,1.950634682713108e-10,5.884821653937589e-36,3.064441807317816e-209,6.623656517531204e-167,1.4801534768751087e-61,1.7117343821863523e-145,3.600607304861531e-80,9.509073291813175e-101,2.394271383630887e-43,2.5325783164715544e-122,6.564548511756046e-30,3.0090019791590816e-136,1.4301277821196047e-64
9,1.3127275102763507e-46,0.2499997558930151,2.4216484478307706e-79,1.4148816921060066e-31,2.2340885567454453e-21,2.5303996896277877e-62,7.141246532103307e-115,2.082626392158815e-25,0.24999975588779233,4.329679864026755e-74,1.9855139452729157e-26,6.122365784942869e-12,7.184517561030214e-95,1.0277548893211737e-58,3.429503440305681e-57,6.025785774312906e-172,0.2499997558930151,3.194193171553628e-79,2.2968137800230163e-118,1.2142981994291561e-64,5.5252382058288735e-52,7.993460798029169e-81,8.403424283749484e-94,8.15201377956379e-130,3.03326411327687e-166,1.7250964125666362e-89,0.24999975559568166,5.123652851201382e-136,8.140831407788271e-83,3.154705501358768e-89,2.1670787663317925e-81,2.240372338491277e-46,8.398232863555162e-54,4.1832360652774745e-69,3.0871610089955584e-108,7.269257487867152e-81,1.1726878270126073e-163,8.263619870403929e-134,2.3027586502628693e-145,4.309633291952829e-87,1.1933423566196392e-89,6.800119223534942e-33,1.2518883371385848e-128,2.622301377255299e-87,1.3672541964046027e-94,2.2056969752743493e-88,1.133283395028895e-103,1.2451061838915187e-77,4.243828681586691e-26,1.440322305475914e-24,8.978990301798935e-78,6.32884100799613e-88,6.023718406945719e-64,1.0218490711317559e-60,2.7589987207616608e-62,2.912777841114279e-62,4.7010169456221306e-57,1.3167115220617131e-170,1.6436023706479532e-63,9.355974688352148e-143,1.1032792852716239e-132,2.2510024952642487e-143,7.129486458912868e-132,3.479938642807468e-199,1.643840823450391e-91,1.1729476151558003e-102,7.594669806094964e-79,3.962435786974144e-100,3.162350311336316e-71,2.805596245780827e-40,2.3425155788210727e-93,4.866565525209926e-145,2.4475261368399405e-130,9.099440241057443e-20,3.4381538291914046e-144,7.700667247653745e-105,1.6006198556675127e-87,1.4479168513132725e-96,6.324886588187936e-125,1.0052407069046295e-79,1.684386244451477e-90,3.418975967371318e-61,2.3922241861164864e-185,4.370368870203553e-71,3.0631155402193113e-128,6.9176440725429635e-15,3.5793072389672314e-66,4.334188284505008e-67,2.0467209673449823e-222,2.0455190190032935e-91,2.020992112844402e-74,2.440510360286176e-147,1.1178429393767616e-59,3.983653842404249e-42,9.76721824068642e-07,2.0709630700737643e-14,1.3755805969754233e-88,1.6776343755959057e-165,2.5217146366735375e-12
12,1.1543376435359114e-42,0.1428559433140611,5.216887487738896e-140,4.520318515215711e-30,8.661083880319422e-239,3.213581288689006e-103,2.3882611627274013e-101,2.5415837534528198e-48,1.513384270338729e-18,2.4765838107126955e-61,2.7445086540138314e-49,2.4928746307693924e-33,1.1814654957046677e-18,0.1428559388437936,3.015017531380808e-69,7.310345138502505e-183,1.607408120821822e-33,1.7317535136811155e-39,4.404858330834321e-129,0.1428559433609284,1.3832119345965805e-41,1.0387604581099004e-103,9.657929319269978e-74,2.36905574106651e-107,7.107922777912411e-139,5.481798221522346e-90,2.9506389802280135e-08,1.1580513736614065e-111,4.661827091832823e-94,2.148184063468963e-98,2.0565041653108983e-98,9.34567376774436e-59,1.7899323464809932e-90,6.949945346699215e-98,3.559327723851371e-121,4.130857302903465e-196,2.64276708538591e-85,1.2551605215060337e-129,1.389277922840018e-151,2.9904855546189044e-97,1.0608256088359314e-106,8.436655566439555e-06,9.661144461965417e-160,2.776716809674387e-80,2.6910061289333405e-118,2.2720600792728973e-86,4.0279695216507054e-101,0.1428559433609284,0.14285590826093414,4.936013466338134e-80,8.27290143882581e-31,2.7721194922650264e-101,1.1244491290471509e-56,1.795541849395943e-41,2.829091744847907e-26,1.0852920656177977e-48,5.610832707021006e-94,3.507328115490676e-202,4.439620770665767e-40,1.965760760050743e-86,7.725151611910416e-120,1.7740988192095964e-137,9.064110980444896e-99,3.142729379660362e-157,1.3765333888531085e-131,1.2637232747511988e-49,7.127845691378572e-109,4.432364778448501e-90,8.83757840305865e-59,2.550192563845268e-46,2.6870891956965193e-85,1.6958117466988729e-112,1.5401838888368726e-154,2.1962634199316458e-54,2.5521474905563953e-148,1.9815965524259185e-107,1.5434702386657634e-62,3.581065562123625e-78,1.0342588951256708e-117,1.313856329927096e-77,3.463386236491893e-60,1.1689914705469774e-64,3.305054582975078e-126,1.1733720044512339e-62,4.222875826953757e-126,1.4036118649395848e-47,2.1364189717507817e-42,1.825851407155448e-60,1.905395937481946e-257,4.200258570744444e-127,3.894026259730968e-98,1.0700879734259177e-118,3.457229552182629e-66,1.2580009553797307e-47,4.499083408398815e-17,0.14285591333687087,4.676200366459122e-80,6.091701197367487e-157,0.14285594336052718
13,4.4581952762178676e-14,5.871040562892544e-50,8.944430864772486e-108,4.9446356697235e-49,6.867643659699413e-237,4.90184135096933e-94,6.379742178263392e-82,5.407622657309876e-23,0.1424523164821953,3.2620054014288897e-85,8.36742751828028e-21,0.1424523164821953,2.185696316445939e-52,0.1424523164821953,0.1424523164821953,7.394384209688305e-181,0.14245231648213288,7.033064055192649e-29,6.77767108677965e-92,7.290967921645666e-72,9.243239237175057e-25,7.606511286962169e-122,3.6642812672131343e-75,3.3107691025681146e-121,3.938204195723212e-145,4.4274807018172767e-110,1.4640802794224e-25,1.301122418122741e-117,2.966669361371773e-84,6.040646591264164e-109,3.90395364932758e-92,9.38168304576831e-70,1.4363453713553533e-120,9.235702572285301e-104,4.1319000242581757e-109,6.44252765535682e-123,1.7174409035091063e-131,1.9384677187184347e-139,1.0872461985834758e-132,9.842603864356293e-99,9.17129715070251e-115,6.564096623225327e-51,3.6015827958672046e-128,7.48396824652899e-61,3.847542279051355e-99,6.463002600915292e-97,5.502445403862543e-131,3.948931044887948e-72,0.0021757059790805584,4.353321599250619e-06,1.8989074234060834e-64,1.0281462056601849e-118,9.92549470774495e-54,9.620869810267151e-48,7.40794335508733e-62,1.8285146202868766e-73,3.2235471104918945e-117,2.8410471831315973e-174,1.7410325116231768e-50,9.130050523108347e-128,3.5672366052163434e-103,1.567457141823478e-135,1.1361089340791225e-120,1.3897324938452735e-174,7.066821548712249e-131,6.072055022245643e-102,6.915207469156589e-81,2.757612905027447e-92,1.62622859953538e-66,4.448572243629302e-41,1.9516839660174667e-89,2.9958656928572685e-120,6.794729568927618e-152,1.386944727534476e-51,3.9969146716376283e-132,2.0378793674816718e-142,7.423417446643152e-102,1.3601179344320494e-71,4.677738200569022e-125,1.0623125423780257e-62,1.1965248659261348e-74,1.4553995726371271e-59,4.566522601681705e-152,7.46425551174733e-55,8.54181554352817e-112,6.513002929424226e-135,8.864000257996343e-56,6.501320035569939e-88,7.36623600534631e-254,3.687986671911e-63,1.6980554275433924e-75,7.112894943346097e-84,4.043900798916917e-48,0.000653725334050876,0.14245231647211537,0.1424523164821953,4.5165785119185395e-63,1.415085397363905e-139,2.6678447796096202e-45
16,1.8579698187725072e-57,6.1998542945871705e-142,2.5610025385392467e-103,0.999999995023676,0.0,3.998127168927021e-78,6.743029244045082e-114,1.0099010475349315e-66,3.005713579884783e-70,3.077751379997747e-239,7.846565217267352e-45,2.159028764450117e-135,8.241262243536282e-74,1.8026632395226715e-88,4.48752038962616e-129,9.26201753802013e-141,2.0832597562424046e-115,2.526628292719169e-53,3.990623944634624e-96,8.615901421481436e-104,7.128325565032499e-65,3.8017608306496246e-74,2.871862665809243e-49,1.980157598173311e-80,3.061888341426583e-88,3.3190989314289853e-68,1.3140542848878474e-48,8.579863624599254e-74,2.3985051410638826e-48,2.899175471259895e-62,7.019718474158377e-45,2.225203115096463e-35,2.2230980004055173e-66,3.8784751774184406e-73,1.077503146310658e-64,5.443879800706538e-169,2.8288223100676375e-88,1.4870710516795512e-87,6.957444626400309e-87,1.2622303669783342e-54,1.3131695690972667e-69,2.6988196097555864e-64,1.0627904854965792e-85,1.3024462934727641e-26,1.0411215327013534e-74,4.403312329016913e-50,9.827408242855277e-76,5.868175908760047e-159,8.741939494670641e-86,7.860088133318029e-73,1.1637877673432033e-34,1.246612895016266e-69,6.582851940341778e-11,3.703894426989579e-36,1.0431691115588649e-47,3.580629959086277e-24,3.139220488938703e-73,5.057131140346038e-116,2.4772556505408456e-29,1.7345303914165334e-100,6.471308680785521e-103,4.506876709307191e-113,1.117008115397351e-66,1.8768119142366196e-164,2.707071480392389e-109,6.746593824821845e-65,1.2692140938026324e-67,5.076457054993667e-47,4.149516460170824e-38,6.10611297023782e-10,1.8711389764604085e-58,1.2687550722533476e-112,3.473573810561144e-116,1.5285830679708963e-40,4.160773215790631e-169,3.0030947005442543e-111,3.4468561787900946e-64,6.982248242801643e-61,1.006747447202773e-157,4.867143154953933e-38,1.2503023057535149e-88,8.253269814557943e-30,5.017979038255413e-137,1.3466280882170564e-25,1.9887365524445236e-105,2.797353382552203e-97,4.299884292738611e-09,1.316651573214747e-52,4.13143540893552e-208,2.0478478033644947e-135,3.8121322153392165e-51,6.0385643572943016e-120,1.081161549788231e-75,2.9114399050436324e-50,4.96813153260152e-28,1.842607078244955e-104,9.621485584308575e-33,1.33855077161149e-102,2.218308752367929e-50
19,3.1130932922483234e-45,7.204094272329404e-135,2.9778011463458934e-91,1.0,0.0,1.9723478507242265e-75,4.0989540181816314e-110,3.22524305847422e-82,2.4621349328858006e-68,1.7311161253097048e-218,3.940131648428441e-40,7.16017733489706e-142,2.1249352019023368e-75,7.744150313145647e-100,4.918132188101223e-140,4.122139158004562e-142,3.8722668922344434e-105,4.092637840931941e-67,3.2484573592956723e-103,2.2873932761950066e-103,1.5545368579374413e-56,3.148757816820588e-68,1.371295137853325e-51,5.698147564619707e-75,7.972506017812899e-91,2.8144072802967333e-58,5.123888277957636e-59,1.652756182324548e-77,1.1412609491470187e-44,8.833744562472138e-57,3.2545293385780713e-52,1.2916966573033173e-24,2.2855967200007764e-50,1.6913314440874852e-66,4.697515549981565e-69,1.9554632220575702e-158,8.100239652482457e-76,9.140751153639973e-78,7.951337714234143e-77,1.0380532157013932e-50,5.021911831189274e-67,1.1014755996815287e-67,2.1369503077886994e-102,5.991790177721974e-41,2.681266191684431e-84,1.8330959872006847e-49,5.118852356486891e-68,1.1084440786059638e-159,3.1060647684556363e-91,1.2228385588616083e-81,9.256555906393405e-30,2.666959531049454e-57,3.7536250127344454e-32,1.4512467218791188e-41,3.226591037878803e-37,3.709668561011769e-31,8.020794070531941e-66,1.4969553646542082e-133,4.301136343307992e-37,9.692971204606976e-99,3.910484594763967e-88,2.3091744455644084e-107,4.5211609638138044e-72,9.704075095526587e-181,9.541595954245524e-89,9.865404267850747e-35,3.5027060292997653e-72,1.6012776633097325e-56,6.487804056989557e-32,6.947850181992744e-21,3.6426349848834135e-60,8.368737266699471e-122,5.324008749591011e-121,2.000460161802572e-51,6.6720702193253426e-158,3.090924127273252e-106,1.9936944606950038e-52,2.397924839760574e-67,5.785373962417558e-160,1.828918142444281e-45,8.581154770459911e-88,1.0843451309492196e-32,2.3773329456820545e-145,1.3467270380286574e-43,5.207907382333831e-104,1.0558623360075149e-100,5.131660690041711e-27,1.0231486962442145e-43,8.819388834159804e-196,1.695859993144084e-142,8.454422414381842e-53,4.401376833493204e-104,8.533948475871088e-69,3.492917040862379e-64,1.1009418635590727e-27,3.7573692632734173e-115,7.170030231497093e-44,1.1490587953667318e-103,2.548097190980191e-48
23,6.148128147831079e-89,2.3008959760003384e-147,3.06215090919699e-76,4.966422246456127e-21,0.0,2.2401621654727852e-07,8.510162980289898e-78,2.740182775162991e-86,9.878506759599308e-93,4.128796265871515e-250,1.2639241084897472e-59,7.911066749454136e-159,2.3480706590967667e-111,1.1895571613357562e-116,1.2209653872220232e-154,1.1809372775534873e-61,2.1222281503987246e-145,1.1799629938763598e-73,1.4765988456403405e-98,2.2466921419217496e-126,4.61429996360509e-65,5.737304985748045e-81,4.0434744934320904e-30,1.0696900367731259e-57,4.19668939717504e-84,1.402474062529991e-43,3.712358515854741e-74,9.581028910787653e-71,0.9621956342450007,0.03780414173876351,1.8764918264899765e-14,2.246777895016755e-36,6.764299150764066e-85,8.332577241035825e-67,9.909811588750525e-37,4.9318337392482315e-129,6.348810772341735e-66,8.753369917121197e-32,9.718473308658985e-35,7.8375346934835455e-25,1.669167420492799e-39,3.375361619573674e-121,7.89158751215997e-27,1.2376756365641838e-47,1.2074465702914175e-80,2.1936758338958446e-72,1.1467679796095556e-117,7.0104476933599015e-180,4.559300863023359e-125,5.559992065479534e-101,2.8770347027289233e-43,5.867809062099665e-78,3.073464603350142e-45,3.288792090168514e-60,2.2167147457588445e-58,1.031342872656805e-23,2.987090865074149e-70,8.78003692749932e-100,1.359065087282988e-49,2.3494210594262583e-107,1.4521909188760954e-105,4.3183924295631735e-70,8.441211033479716e-54,2.6127429639614343e-161,6.341267299071425e-119,1.9669178321584719e-72,1.6464370281212335e-31,7.369187041300377e-38,1.2994482908580346e-44,4.30544566424522e-16,2.1815362296165373e-35,1.0477427151036556e-110,3.50622880921933e-109,3.9691922689462604e-35,3.745587146932533e-197,1.4348204211921721e-170,1.6279406590986587e-39,2.3026931147355136e-59,1.0084463043087996e-147,1.4391128900570301e-36,4.031170113082264e-57,4.684117596338494e-18,3.0694868064461433e-143,2.0806774135956058e-76,3.3394656768278214e-103,2.5512162857675514e-124,2.5353459038341242e-48,3.401359022154672e-27,4.529315217714245e-174,2.174497440928088e-156,2.69331748261085e-42,4.548069651434299e-123,8.641428764733126e-74,1.1048283759615706e-73,1.7213033511092482e-62,6.851140053805529e-146,4.071179816407445e-30,7.10964949790002e-118,5.672919646274562e-66
24,1.956590095624381e-43,2.9865902687414284e-130,1.2555252792272466e-68,4.8365033719358425e-27,0.0,7.287625385043287e-63,2.4672283999905792e-93,6.015893897484054e-70,1.5605594236476323e-37,1.4344542784006089e-186,8.321894519767002e-23,4.00452310653209e-147,6.909522164019178e-144,1.0133059020585704e-113,1.9834909113242867e-143,4.6958329931836357e-166,1.282499081323613e-82,3.0698033976689033e-66,1.1818066440248458e-111,6.0817043799812135e-139,8.324394062445049e-58,1.8955372421776512e-59,1.0217108528050652e-80,2.460756258684229e-51,6.3610273372888825e-124,2.2713497922715794e-67,4.64951946562152e-31,1.2836012921306207e-55,6.061661897323929e-65,2.966059513491011e-69,6.971864917336908e-74,1.773661053169332e-08,6.18055260970228e-67,3.879184913949488e-82,5.2195111634448513e-54,2.7412800331922906e-207,7.115296664632794e-91,6.332091113031523e-74,2.2678200745554855e-82,4.3739227375622184e-27,1.7385977977369375e-62,2.3384725269027146e-92,1.2429314797101354e-109,8.329769249645481e-65,1.970003241942317e-75,9.774316590702357e-63,1.705621634316263e-81,8.564436501154061e-169,4.010148971077486e-110,1.2049103817424087e-85,1.726101058842503e-50,2.5858518489719098e-40,7.036461337633607e-55,3.0041732086293096e-82,2.066988911325356e-54,2.7207046193075354e-48,3.234613805517086e-70,2.2288731648195947e-130,2.2872526048030092e-34,5.831510720159306e-47,1.1397243369376975e-105,7.106199035322824e-107,8.310763109519038e-99,5.252975686910269e-146,4.27240386272928e-63,2.308450856015896e-89,3.1792565027213495e-67,8.595673542174229e-77,2.1822319270231254e-57,4.340209894238698e-25,9.489525472018424e-46,7.897336985142172e-96,2.4281065744280548e-33,1.979814884707305e-58,1.3665349791902826e-124,9.781463345870515e-94,1.2471033766576932e-95,8.255514864858255e-61,1.4321076457757015e-80,4.367010240521301e-45,1.76771296500044e-72,4.819406817191381e-37,1.2254239782305073e-117,2.398256836394067e-25,0.9999999822633895,3.5191581587948474e-130,1.8315234933559818e-56,3.3098009481463448e-80,2.1085517454284384e-198,1.4486049838717855e-125,2.273031414586911e-65,9.255448789543431e-129,4.0239842047371743e-53,3.087912470887608e-81,1.1743669495434161e-27,2.6905175337442e-106,9.132115356346217e-45,2.75105446618826e-89,6.262961778460738e-88
28,2.5865427139628363e-17,3.748418249476501e-59,2.868668913171468e-91,5.1479628001897245e-28,1.349232511029715e-251,5.500006612856075e-60,9.025873942057869e-63,0.00019004488098216442,0.49990497755950875,1.9440925931502164e-142,2.865378607822952e-16,3.3027634741731624e-35,5.315852254174743e-47,3.1586633834711875e-55,3.5349541063139125e-36,1.7009126478045944e-170,5.418517784073067e-18,5.143779572790298e-35,4.884609088863586e-106,2.47680425208031e-59,4.074159943134902e-33,4.595185621664739e-102,1.9036549225271653e-81,1.449585729707026e-116,1.0531817016774826e-144,1.7816354378115798e-104,5.975895409695502e-27,2.639595962626935e-122,1.1130881733970114e-80,9.259783312245461e-91,7.82644943780492e-95,1.8721004190527197e-50,5.9236150772968335e-87,2.8925228102803502e-70,1.6171805170833831e-96,1.894614614622008e-132,1.0179247726426331e-120,4.5376001205275605e-135,7.329852212848881e-136,3.762354502270441e-77,2.2538697741070306e-82,8.579416676491379e-40,1.8902663415988104e-126,6.916241474227747e-86,1.4324670887152343e-89,7.085007839846711e-91,6.824094820393255e-114,7.778138999828754e-75,7.346949236607403e-20,5.530767631624925e-46,4.1965012086737204e-52,1.8135516468115667e-91,3.3034440324906372e-68,2.2768153624225435e-46,4.3665121689080333e-44,8.986423552462156e-39,5.259498803604157e-88,3.275362098236384e-173,2.9245873680475256e-54,1.1530216712105947e-117,1.1086490226043355e-125,4.1396948566598884e-126,1.7988051599313584e-114,6.948743793947295e-188,3.562787650803666e-97,6.592692427751036e-81,1.8860975902559396e-89,4.4394491822414554e-103,1.880179445783463e-56,7.0057436312707635e-40,2.5379330651149426e-90,3.325644077122456e-142,1.701112743248782e-132,1.298386509835021e-45,1.611865989582967e-131,1.9088002433535433e-98,1.0420086873510627e-82,4.7406362511230707e-91,3.1534698999560414e-93,3.053205451338698e-76,6.3997861017053035e-80,3.3934969588004806e-55,2.4492734779241234e-148,2.548419151569425e-47,9.8881241914513e-77,1.6662174952731436e-97,1.857265150558462e-43,3.333104028193837e-74,4.854854093785799e-243,3.8027193343111715e-87,2.0230172358567754e-71,7.642344669952102e-101,9.166533173229512e-43,1.654261106783657e-18,0.49990497755950875,2.947046046253784e-20,2.8014479387282203e-90,2.6661197926338606e-162,1.3600448724115138e-44
