Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4.199239745413026e-11,6.729397404945767e-11,1.9227273620179623e-14,1.788274239965382e-08,3.0768443376021764e-10,1.7634803473428953e-10,2.264993261971108e-15,4.181327881391157e-12,3.711851839096459e-12,1.6918520993967425e-08,1.8917096965811664e-08,8.029280077715221e-14,1.8151093581109973e-13,1.525619246203149e-10,1.6044888921165276e-09,4.6707895900431526e-11,1.4916926240376925e-06,2.4202185054973976e-14,3.544223181533131e-10,1.0482033012301249e-13,6.503962008852115e-09,4.854004931975729e-10,2.7475107183868834e-08,5.49481358731657e-12,4.95403597105208e-13,1.7499805600259227e-12,1.9017145460252884e-06,3.8385583475436126e-08,1.2563911863872769e-10,2.2477681455293615e-10,7.379707424020087e-17,2.7449869080385607e-06,2.2696244279626066e-07,1.630198594255691e-07,7.13978044730929e-11,1.626472139400253e-08,5.183648492701846e-11,2.45448901455641e-16,1.7281162387889195e-09,1.5259033672484084e-11,1.1000909959068731e-14,7.396797079104854e-08,3.6388743778776924e-10,8.736750520511259e-13,1.623158433308309e-08,9.721635821699109e-11,1.880403639733967e-05,3.603014345477576e-15,5.138659799681701e-13,3.526060417425366e-10,6.899484602372905e-09,0.9998882945372186,9.189047573549934e-12,2.0829002481483638e-07,3.839665166576443e-09,1.2009711582095337e-06,2.7715946925334534e-06,4.4387470636183865e-14,3.2256238639310216e-12,5.1851665163816075e-11,1.7777477727085613e-11,7.701804765043892e-11,2.030283583998003e-11,1.635631284167649e-10,1.7550217014037945e-05,5.869818124778543e-10,8.709491398123805e-09,3.429496545212309e-16,6.571781958642484e-13,1.4917409715372644e-10,1.196062572314467e-13,2.3350095045968685e-13,5.740069186390487e-08,8.626648815467724e-16,1.3531911916639931e-05,1.8699780262013681e-06,1.4232857647166425e-14,1.6248509884535677e-09,1.2277570296221432e-05,1.7088095811847127e-12,1.1124395692215208e-08,3.4788121347145814e-14,2.3561607836854064e-13,2.611207670748419e-05,3.3525675673624874e-06,9.95876066722319e-15,6.122751471053824e-16,1.949214354249168e-15,6.883355380580322e-06,5.093329193861986e-15,8.95032223707767e-10,1.028323623116157e-10,5.989807304525285e-12,3.703127296020997e-09,3.3141434596541165e-13,1.2859273988815305e-13,1.2732224187028956e-14,2.802964321844063e-07,2.292631778660696e-13
1.278475601883562e-10,1.4368227491131847e-10,1.2298073225915645e-08,2.581062933576634e-07,2.687122081900335e-11,1.966661573231625e-10,1.458958814748144e-06,1.9500937233059623e-10,4.871736791542155e-10,1.0133595232844025e-10,5.997695768491927e-13,1.1971044758439274e-11,7.095292641819766e-12,2.8982866208777575e-11,2.7844033584049977e-11,3.431688585573923e-11,2.453362601639096e-11,8.192267637225175e-08,1.5491053467882955e-11,3.0805276032834276e-07,1.5197273343569825e-10,7.538620396639896e-12,1.0316437172644245e-10,5.330295283529853e-11,1.055761269050237e-10,2.28948023630739e-11,1.0140634545802862e-09,2.8945803198608166e-08,2.0088523667365411e-10,1.5385863219671052e-12,4.021987244916564e-09,6.335918515467895e-10,3.8454569582437046e-10,2.2755171784040824e-12,2.726000537298272e-08,6.245057739135345e-13,1.9079865770984245e-06,1.7269422700885743e-09,9.53710778669026e-09,3.448728217111711e-07,6.53794788309294e-08,2.1491624549485077e-08,2.2335866862190502e-08,1.199030407578974e-08,3.202796503374848e-11,2.2093425756715864e-07,7.581555923645863e-13,5.88529639137663e-06,5.82884165623304e-09,7.077503073855402e-13,0.9999802647655053,2.831712043003049e-10,4.902490013450169e-10,2.5749148326117533e-09,1.1541712644405899e-09,1.222102059800001e-08,2.89846535008763e-11,1.6697305842252153e-08,2.5756779540020294e-07,2.4454602110247438e-08,8.516358429170412e-09,2.16350278778017e-09,6.26123142919072e-12,5.9026051503265706e-08,6.922258201102359e-12,2.284422935868984e-11,1.0940207107664757e-11,1.8400154735137864e-09,5.298957047969119e-09,5.495587370399819e-06,2.1323648814700647e-13,5.907978120135951e-12,2.9018991232551786e-11,2.2638858818352022e-10,8.089340068128432e-13,1.1647162900407947e-11,1.2195651393193304e-06,1.3778574629074867e-10,1.4110488197357145e-09,1.6509245546377419e-09,2.228836125956493e-10,6.6701333751036385e-09,5.239263919226774e-07,9.301519293650281e-08,1.0984418846987414e-07,3.004163040940962e-08,8.021777032437528e-09,1.3836647381892258e-07,3.8413188641789173e-13,5.093996579158399e-09,5.558447426747013e-09,5.5361344548971894e-12,1.7554732439404107e-12,3.999593711458211e-14,5.128017896318581e-07,1.932014594007491e-09,5.069457744940036e-07,1.3176053519136636e-11,6.910702272358677e-10
1.0443747580622757e-07,0.9983101110394208,1.4241829980249132e-08,4.142104126248407e-09,0.0013301277655482745,1.5867363163241758e-07,6.903826672735987e-09,1.4736537596167399e-05,2.9414389290138882e-05,1.588057094409475e-05,1.555852777812151e-08,4.08101193925593e-05,1.678784886132802e-08,8.877041272155284e-08,1.0503080956530524e-06,4.820135387031723e-07,0.00016750362224049082,1.0555298513120242e-10,2.2784979625755054e-09,7.105436271386434e-07,6.391853762209922e-09,1.2812734520543167e-07,1.4324215509539334e-11,1.1516691150402023e-09,2.28388854234426e-11,3.2428787329257793e-06,4.136195922934549e-06,4.338272512702628e-11,2.636077875487927e-09,5.2095355296423403e-08,1.700837063407934e-09,3.4837526316118222e-09,6.624308559298439e-07,4.3493832453314806e-07,7.934365733163836e-10,1.9752977119053243e-06,1.2194099184846498e-10,6.268855579965785e-09,2.2119311509893128e-10,1.0775329003441172e-05,5.6171875153943035e-08,2.7450381972464124e-08,1.8064800048111088e-09,1.9556450707353095e-10,3.4341847864797165e-08,2.875554417158476e-09,1.627142938192024e-09,3.119975574348865e-08,3.0661576859451013e-06,1.7786612612619017e-07,1.8093884810577955e-08,1.1209959675327054e-10,1.5961751095415146e-08,3.302334048130021e-07,1.3123912887471449e-08,6.597496810761105e-10,8.648320143599882e-06,2.8370801983335888e-09,1.972126478286075e-10,8.989199351315612e-10,2.1642851722992257e-08,2.8766572201729702e-11,6.425723717679083e-09,7.49411895233234e-08,1.4980691239591213e-07,4.621367349775149e-09,2.386783039231493e-08,3.583993845163133e-10,5.703116978999664e-12,3.5515374839469814e-08,1.4654931733025322e-09,1.818687095708327e-08,6.338446307880507e-09,1.3662881016079366e-06,1.0026313208018152e-06,5.531141715833051e-08,2.0509749703436087e-10,6.327348963184575e-09,2.890644283859515e-07,6.396639224833871e-10,2.2723034408867186e-08,4.939934351930809e-11,7.477097435188556e-10,2.4943079580499266e-08,1.0626056639407194e-07,1.7315888617104073e-05,1.3586542867046815e-09,4.1713770584979706e-08,1.4966522799560646e-08,2.635467301675014e-07,5.67181201534091e-09,3.356894541998143e-08,1.5919246246364328e-08,8.287805424094018e-09,8.980029676011787e-09,2.0128319005638907e-07,2.055901035577694e-10,4.4194349847381805e-09,3.376671016284265e-05
2.8390012622131933e-09,0.0012583526658747751,1.5132832714212685e-08,1.8299267094811968e-09,4.3322074522505826e-08,5.5223379272144144e-11,5.675768112072887e-06,1.7667770880643258e-07,8.976543185520928e-06,3.887077741066149e-06,1.4837324919932993e-10,4.699170010756488e-06,1.2925460606497902e-05,0.00031737146671073396,1.1788988564456824e-06,5.267665976741264e-08,2.83405661534604e-09,1.0030372781140008e-05,2.4422074976627406e-10,0.9948148417656735,4.0095232553234445e-08,5.1090298477567995e-11,8.506457022141723e-09,2.91490702407903e-10,5.633636303065904e-10,3.399726671625159e-10,3.3894642322221507e-06,7.496192772536474e-09,9.716711873045969e-12,9.411730084941799e-11,1.4404479374339677e-09,5.211312398800298e-11,6.8635829950148626e-09,6.776573310158301e-10,3.3719779795994244e-09,3.056781076355197e-10,6.131689684518098e-07,1.4770989507435207e-06,4.1189486933345345e-09,6.233119931180106e-08,1.9218525533712588e-07,4.9801015834525544e-05,7.580227341617715e-10,4.182135719535238e-09,1.6423480666498065e-09,5.019807218100367e-08,1.168937245180015e-10,0.0015076425392336805,3.816616014228431e-06,7.885750157513645e-11,8.353662089040753e-07,1.0741812139800287e-11,6.182581440248152e-08,1.1435268615899292e-08,2.141793406945998e-09,2.770454654722797e-10,5.2656525907477005e-11,1.0753002281026299e-07,4.614841478001495e-06,2.2698978400678685e-08,2.1849489733875208e-08,3.245538715793191e-11,1.896421887017788e-08,1.8484491807337828e-06,4.6137122338995876e-10,3.583883019902422e-09,8.580905929416729e-10,2.3012165447043664e-07,2.504250777448792e-10,2.4448531678113976e-11,5.474482282867753e-11,1.2314766843390744e-09,2.3218668852180523e-11,3.9221850204535267e-08,2.9298246922293813e-09,2.9245678204748436e-09,1.1582525045167335e-08,2.065910992700014e-08,8.810960830207283e-08,1.4990573208607057e-08,1.0655242587788852e-06,3.4307295265811666e-08,1.1213190667399232e-05,9.523151514371147e-09,1.1958114010809765e-08,6.027630838298427e-05,8.405039636818387e-08,8.70328407031495e-08,4.698948072397094e-11,4.6264264719012304e-07,9.401928120738376e-09,5.0160887860549147e-08,2.070889407878503e-09,9.746543549653227e-10,9.427727442026686e-07,0.0018755410103419065,4.003493910061305e-08,1.1779221044951824e-09,3.684468453504672e-05
2.233175081862297e-08,3.849349829021717e-08,7.402398761163996e-12,1.6122615324574193e-12,8.917207350697208e-09,2.3407065506486046e-12,9.50096745018967e-09,6.900934180172197e-09,4.891813812453848e-06,8.70320834619499e-08,1.4016444390929014e-09,4.4079116575278696e-05,4.288757537576125e-08,6.171604337271706e-07,0.9999264339370041,9.969032922313438e-10,8.629747095350953e-06,2.5339622341639313e-10,2.043623897784746e-09,7.398615504665437e-11,7.774511876059366e-08,5.651336190477277e-12,8.027130233195487e-09,1.6920956602129733e-11,1.7735346698139335e-10,6.609595780879587e-11,1.8285611265131467e-07,1.182872829568687e-11,1.134799219066725e-11,3.759965495503795e-11,1.741715601360609e-10,4.024406871036093e-13,3.7988213887805234e-12,4.3894807018792065e-10,7.350327631123453e-12,1.3972098582738699e-08,3.818303273869791e-11,3.520910330361886e-11,6.391974276712375e-10,9.119280374095432e-12,7.551263475045428e-10,9.121120190312042e-10,1.0074254765373476e-11,9.395245389794416e-10,6.377819462293971e-12,8.94570970573497e-13,4.628264525668156e-11,9.460598754115594e-09,4.511387072052718e-06,1.5459510270821158e-06,8.045856177601257e-12,2.5752384625002316e-12,1.3762595013427972e-08,2.0638342366160328e-08,2.773453711391635e-10,5.985598398832845e-13,7.736072370585594e-11,7.946863515759183e-11,5.868798644950559e-11,3.0122458117758446e-10,6.223980654873329e-11,8.611776415588375e-12,3.949852556980388e-11,1.0193627808668342e-08,5.692553596935255e-10,2.122214715007461e-12,1.243467446980277e-10,1.5837430671589768e-11,3.749241064366062e-13,3.3840739700543207e-12,7.968522998740387e-10,1.4794937167953262e-08,2.7623226227958264e-12,3.628392409291475e-11,1.2125742168460263e-07,3.8977968677611375e-10,4.016467807314782e-11,2.976261846489313e-09,1.476083329383337e-08,1.6023092914969642e-09,6.362346964824419e-09,6.141233225370308e-12,3.845781512347438e-09,6.411974624259272e-09,8.756661950784863e-11,1.6393974807244868e-10,1.8134760371657314e-10,1.0016061676838325e-11,4.005176917998426e-10,4.2729524514054283e-08,1.1462794079856834e-10,3.7938698928933877e-07,3.1679652940589746e-10,5.645862977568055e-07,2.2171895812777755e-07,7.335149152504135e-06,3.3267301967507248e-09,4.830697675909706e-09,1.1248685602653821e-09
2.0043397815294186e-05,3.541058694844091e-07,5.688217473979409e-06,0.9701863031467329,1.64623167715751e-07,2.2875807379970408e-08,1.7514517982027478e-05,2.62399157309888e-05,1.999430379511514e-06,2.3686761912969763e-08,4.1150823999546044e-06,3.8713974533491406e-07,2.5205379823576386e-05,1.1108494761467577e-06,2.3910314240253086e-06,3.8281242990166143e-07,6.352545183421975e-07,3.520343606915451e-05,6.934570485446189e-06,0.00011363247814038429,2.469088688256616e-06,7.313785560121215e-07,6.930539930930471e-07,2.114742086676145e-07,1.923817383269617e-05,4.4912583859546805e-06,1.7463256510076836e-05,7.467648892075303e-06,1.7747112862688226e-06,2.7472982012436496e-09,4.657199868002662e-05,2.8917036510109005e-06,1.0658764538068264e-05,8.903782266263028e-08,2.577745117352592e-05,1.7406228490966067e-07,4.6294715923763924e-05,1.1258304442497943e-05,1.3167397267107501e-06,2.2940858319370298e-05,0.00019890831248482632,0.00020609031502145722,4.897199782759794e-05,0.004684375364839644,3.241631060485943e-06,0.00020536767048106485,3.11286354262515e-07,8.125688561085042e-06,1.9575957650708762e-06,1.7847889437325713e-06,7.26532294818371e-05,5.307935763259964e-07,0.0032898185117216936,2.4943475102448067e-06,3.113546915719402e-08,8.3218721358049e-07,9.762274501442513e-08,7.996412297946093e-05,0.0012839795678474925,4.947944562812874e-06,3.9409701213849635e-05,1.2358281208653946e-07,2.2247477538478537e-05,5.530552761929538e-06,3.581451525550458e-08,3.597833953694333e-06,2.1871255266557099e-07,0.00014320459303776928,5.556749697581972e-05,2.8066490187503593e-05,1.1752279846510849e-07,5.72355653190532e-06,1.092922015158707e-07,1.7256219545147106e-05,3.568667801915611e-08,2.077354744897653e-06,4.8451798271749945e-05,2.3794614649102485e-06,3.270092540959042e-08,3.132671951428511e-05,5.1999110238540864e-09,0.00025031141547551074,4.971984810638383e-05,0.00029053271589617473,8.888085934950396e-07,0.0004171671516836518,0.016962386846772582,6.793723150218294e-06,4.6904925340412564e-08,0.00014081936561876894,0.0001079770025721007,6.429650630266916e-06,1.2940978375101522e-06,2.604401335624234e-06,0.00046458219917623714,1.6572244233552626e-05,6.819534132859572e-05,2.3012822199804353e-05,1.979519743353389e-05
4.388896503096103e-06,1.7516183294204746e-07,1.7752263113557553e-06,0.9992437840013808,9.565184303368017e-09,4.4315634572313984e-09,1.1551180067759132e-06,1.58232624728209e-07,7.140657749902084e-08,3.863458482694075e-09,1.117360352216221e-06,8.854653491202012e-09,1.4690854265443152e-05,2.10367998700232e-08,3.64255316582584e-08,2.794493337827469e-08,1.5826383863035815e-07,1.612661529563964e-07,1.88342957417814e-07,5.475377045894168e-06,1.0778598765524516e-06,7.214995935263245e-08,7.1017210509721615e-09,4.646339407033804e-08,5.60992066783636e-07,9.36679270717922e-07,4.370695181082841e-08,5.8071379389957554e-08,4.046769368306984e-07,1.8910081075741135e-09,3.51685267948179e-06,2.3148917208078218e-06,4.670476745671102e-06,2.8609418153218375e-09,5.178964509558303e-07,8.688512250385675e-09,2.923422830746156e-06,1.661197022605476e-06,7.245260478846117e-07,1.3846008935758957e-05,1.8383947599882632e-07,1.0554896336296226e-05,8.005585496947355e-07,3.231041276047558e-05,2.541306062889337e-07,1.2099896457422818e-05,5.1494285093942286e-08,5.448062609529289e-07,1.7407552963546425e-07,2.0603295521321933e-08,0.000157100114938286,2.6274593805345157e-07,5.513916933966321e-06,7.542219493411786e-07,5.805201235393397e-09,2.056886975648558e-07,1.0706090200100726e-07,6.445799778278248e-07,4.288211228455826e-05,4.041670865479299e-07,3.515979213983924e-05,1.2246934076607772e-08,1.040481264351668e-07,2.6615532720063874e-07,6.642091440719153e-08,8.702024839630848e-06,7.66973466879271e-09,1.124057855135897e-06,1.8908532324865756e-05,5.287529517622827e-06,4.037778531639423e-09,7.834723182659816e-08,4.084436501197638e-09,5.281541839381811e-08,1.7459400048846319e-09,5.745885935149164e-08,1.1440051020534611e-05,1.254924357820878e-07,9.547730427071515e-10,2.496958544069241e-06,9.351561398161e-10,1.923144792097074e-05,2.3520376486273366e-06,2.3573488648884854e-07,1.408367012531587e-06,2.979813206543587e-05,1.3094916034592235e-05,9.747881539775088e-06,2.3833809779852093e-10,1.469576212514616e-06,1.2720292599030602e-05,5.887981279794864e-07,1.1156541884787156e-07,2.4685890370646816e-08,0.00020772241802032173,1.4508207943585308e-07,2.4837245207866853e-06,1.685850579817574e-07,4.311198542406127e-05
6.804020029566271e-10,1.6035274780731876e-07,1.2730936508726777e-06,5.3212676757618485e-06,2.6897721066668068e-08,0.0001740444882870528,3.3294816107196655e-06,6.110882988662755e-08,4.6403868273674256e-10,9.77413651743833e-09,9.81333044253968e-11,1.059565279317267e-07,3.2825194256480114e-08,2.875685046961599e-09,6.511438480741507e-10,0.0003262545570454109,2.2619141747492087e-10,7.0342820008183315e-09,4.7614844513319096e-07,5.19935511855435e-08,2.8795763517656807e-06,7.352643186873894e-08,1.1383389965403978e-07,1.2245872416986644e-06,2.026528941488591e-06,1.6533599163905583e-07,8.165229540401645e-10,4.463183500219587e-08,0.9980122773794888,0.0012273363591693161,8.094451361131335e-05,2.998780118141426e-10,4.172612422951671e-08,1.4542140080178159e-08,1.3506160036364083e-07,2.8071037767473985e-07,3.096984759443818e-08,1.0729486370485404e-05,8.194148556367708e-09,7.662902124959433e-06,8.953524397937876e-09,4.506821197987852e-11,3.416233198083388e-05,4.596634193742649e-08,2.167474710207973e-09,1.0760306683428815e-08,8.913312345908525e-10,3.727513214832997e-09,6.622258689411324e-08,1.210098175114509e-09,5.5692134047450385e-08,3.965751289883546e-07,9.272623721370367e-09,1.849991749015203e-08,7.822267444315564e-08,6.265540599078457e-05,1.8755341447501271e-06,2.1575130515556174e-07,2.041184621588939e-09,3.730852942081789e-09,9.000160096891743e-08,4.939282052184234e-07,4.0158149004479255e-08,3.295528893981786e-08,4.198429166194363e-09,1.6183988480884119e-07,1.623320010360925e-06,7.814556807968965e-08,8.656773182829358e-09,3.204433928664271e-06,7.193028258267169e-06,3.346588780263831e-07,1.1199183743975995e-07,5.356182254810683e-07,3.682053006164882e-10,8.797849249953234e-11,2.4833803948522753e-06,1.653978200379392e-08,1.114639381707654e-09,8.792676275533817e-07,2.908983689482768e-06,2.723719064565362e-06,1.766860635449511e-08,3.976677744149918e-12,1.1370402757463936e-07,3.355549511096444e-09,4.2754892938031705e-09,1.910381871311882e-05,9.742920756342613e-09,2.4445801754934544e-08,9.15503858483806e-08,1.7185785447150635e-08,2.196396220264735e-08,9.113970482317983e-08,8.311092611095067e-10,2.863027747207594e-10,1.0436803762189036e-07,7.588321530846404e-10,7.045447952087607e-07
5.15996225125133e-07,9.08051218262617e-09,1.072737309168769e-09,1.5518243875771396e-10,8.056409976295722e-10,9.905651090927046e-08,4.32260467373353e-10,8.793462525965012e-11,2.47809218453978e-06,1.0266972797117547e-09,8.909663271683886e-09,1.5519707170128823e-12,3.1563312356529505e-11,4.906270966646791e-11,1.7437090072439286e-11,8.291553055888518e-10,8.710553217412543e-08,3.683248222908918e-10,2.9559141583416428e-12,6.350091036869796e-10,1.3898052907438753e-08,2.358174146547823e-10,2.176656664679769e-14,2.977708042178697e-10,1.8752527947329083e-13,1.357334516280601e-10,1.941890526127231e-08,7.679755093354917e-10,2.1431428984231465e-13,2.6659098603848924e-11,9.926121281494839e-13,6.092049083183792e-07,6.012165151338313e-08,5.666475847368451e-09,1.2138306145469886e-08,3.584280380933573e-11,6.842729648040003e-09,1.4956350434878555e-08,2.461099997515653e-09,4.126883577170704e-06,1.22006278617609e-10,2.8674007716122744e-09,1.0320248147475252e-09,7.737568523041595e-11,6.153134333442848e-10,3.938724454291358e-08,1.2301218257181996e-12,2.474843902621612e-10,1.7379400824789055e-12,4.822736737976906e-11,1.2841680471048094e-10,5.3849749739154644e-08,5.2113317114666074e-12,1.485560372066683e-13,1.718036078327389e-10,2.557322500733011e-10,6.677651364678972e-12,3.7481503835660026e-11,1.2876938168900771e-07,4.0901607592225995e-07,3.4320031650360045e-10,2.486017585515373e-11,1.3036393454793436e-12,1.3571171763155616e-10,3.503454404413733e-10,1.114843792548459e-10,3.947425656975323e-11,3.026945727208204e-13,1.3588668563488327e-10,1.414089632164814e-07,8.196501211454637e-12,3.1596211468527406e-12,3.665315187401774e-08,8.446649353534719e-14,8.154553164209333e-09,2.0807760093313173e-10,1.6154130778298273e-10,1.0713907839167105e-09,2.4769739446358698e-08,3.33137206898212e-10,6.424705108341971e-11,3.1331173862591473e-10,7.951401013377069e-09,7.241776869893334e-09,0.9999910340397823,1.0087110531331962e-10,2.81919199471137e-13,3.1995747976906073e-10,1.754866032084345e-11,2.4652382857924847e-09,9.231686039740801e-11,2.7364375594295823e-11,1.0498472903518046e-10,3.0438419696900554e-12,1.9721725904281626e-08,9.611055505764486e-11,8.476507300074827e-13,3.236400150023547e-11,2.1225872788997892e-12
8.020758946620792e-06,2.455933003987559e-06,5.744335761925659e-09,6.073970926053208e-08,9.160688997817995e-08,7.871026914766979e-10,3.3980623499353976e-07,1.2620519540049309e-05,0.9999332946008106,4.1118681744196186e-08,1.5630384174316487e-06,1.5973134858560242e-06,4.577269995644079e-06,7.344089111365676e-08,1.991685611510872e-06,3.349432338968438e-08,1.1457851219958001e-06,4.5586714696653054e-07,7.102672633416334e-09,2.948474942068842e-07,4.332226385967774e-08,1.5777792581704631e-10,1.3921732322677645e-10,3.8092212306416226e-10,9.734336274102541e-11,4.762922843017927e-10,3.2272964259213664e-08,1.0855198051710196e-10,1.1427576973434746e-10,6.230390837031937e-11,1.373554097091487e-09,7.984395962227391e-10,1.366567453289971e-07,3.331052359241445e-07,3.060575117314958e-09,4.152700753397201e-08,2.147440000407451e-10,1.1512294580418011e-08,1.2651737924637043e-10,4.6721867923754234e-08,3.610106166651905e-08,4.823664648678042e-08,8.667289024811347e-10,2.6476204358501583e-10,2.743485711398235e-08,7.231888518033745e-09,7.177988035116003e-10,1.8378150652210706e-08,2.8539159830106676e-07,3.442775342820812e-08,9.03742802255234e-10,1.0892458973153667e-11,3.73379881644726e-08,5.2378347984059197e-08,1.0177558471491826e-08,3.3594534425064876e-09,2.316176144878718e-09,4.370275311549737e-10,7.713962160443929e-09,3.2330329644005197e-09,2.8862132594797234e-09,5.0386451575674454e-11,8.444715362675678e-10,1.6481690222054892e-09,2.1898181768111437e-08,8.974326878520373e-09,3.9888116703345127e-10,2.4173171193632483e-10,9.722234908382394e-10,7.831750391259576e-09,4.708847062561778e-10,1.908459162378709e-09,2.038552250774201e-10,2.616907247171925e-09,9.912775112842704e-08,1.0629030950041024e-08,3.842344858343674e-10,4.5300554276503013e-10,8.295110197134993e-08,9.160086983900133e-10,8.993112487392961e-09,3.506704271226909e-09,2.7351846158111077e-07,1.1869990620973806e-07,8.869427879862527e-07,1.4031600609174867e-07,9.761305794655429e-08,4.643448885667873e-09,2.2305403909403475e-10,8.862108882310275e-07,1.7183287284868894e-08,5.196265334250991e-07,2.4699908315194876e-08,4.856216814478746e-07,2.6015939715887452e-05,3.461319025067495e-07,3.841457975793229e-12,2.928793090386203e-10,2.3816508725744023e-08
